label	clickSelects	showSelected1	showSelected3	group
Senegal	Senegal	Senegal	Sub-Saharan Africa	178
Somalia	Somalia	Somalia	Sub-Saharan Africa	179
Suriname	Suriname	Suriname	Latin America & Caribbean	180
South Sudan	South Sudan	South Sudan	Sub-Saharan Africa	181
Sao Tome and Principe	Sao Tome and Principe	Sao Tome and Principe	Sub-Saharan Africa	182
El Salvador	El Salvador	El Salvador	Latin America & Caribbean	183
Sint Maarten (Dutch part)	Sint Maarten (Dutch part)	Sint Maarten (Dutch part)	Latin America & Caribbean	184
Syrian Arab Republic	Syrian Arab Republic	Syrian Arab Republic	Middle East & North Africa	185
Swaziland	Swaziland	Swaziland	Sub-Saharan Africa	186
Turks and Caicos Islands	Turks and Caicos Islands	Turks and Caicos Islands	Latin America & Caribbean	187
Chad	Chad	Chad	Sub-Saharan Africa	188
Togo	Togo	Togo	Sub-Saharan Africa	189
Thailand	Thailand	Thailand	East Asia & Pacific	190
Tajikistan	Tajikistan	Tajikistan	Europe & Central Asia	191
Timor-Leste	Timor-Leste	Timor-Leste	East Asia & Pacific	192
Turkmenistan	Turkmenistan	Turkmenistan	Europe & Central Asia	193
Tunisia	Tunisia	Tunisia	Middle East & North Africa	194
Tonga	Tonga	Tonga	East Asia & Pacific	195
Turkey	Turkey	Turkey	Europe & Central Asia	196
Trinidad and Tobago	Trinidad and Tobago	Trinidad and Tobago	Latin America & Caribbean	197
Tuvalu	Tuvalu	Tuvalu	East Asia & Pacific	198
Tanzania	Tanzania	Tanzania	Sub-Saharan Africa	199
Ukraine	Ukraine	Ukraine	Europe & Central Asia	200
Uganda	Uganda	Uganda	Sub-Saharan Africa	201
United States	United States	United States	North America	202
Uruguay	Uruguay	Uruguay	Latin America & Caribbean	203
Uzbekistan	Uzbekistan	Uzbekistan	Europe & Central Asia	204
St. Vincent and the Grenadines	St. Vincent and the Grenadines	St. Vincent and the Grenadines	Latin America & Caribbean	205
Venezuela, RB	Venezuela, RB	Venezuela, RB	Latin America & Caribbean	206
Virgin Islands (U.S.)	Virgin Islands (U.S.)	Virgin Islands (U.S.)	Latin America & Caribbean	207
Vietnam	Vietnam	Vietnam	East Asia & Pacific	208
Vanuatu	Vanuatu	Vanuatu	East Asia & Pacific	209
Samoa	Samoa	Samoa	East Asia & Pacific	210
Yemen, Rep.	Yemen, Rep.	Yemen, Rep.	Middle East & North Africa	211
South Africa	South Africa	South Africa	Sub-Saharan Africa	212
Zambia	Zambia	Zambia	Sub-Saharan Africa	213
Zimbabwe	Zimbabwe	Zimbabwe	Sub-Saharan Africa	214
